level,dimension,n_questions,RAG_mean,No_RAG_mean,mean_paired_difference,CI95_low,CI95_high
L1,Correctness,6,8.944444444444445,6.370370370370369,2.574074074074074,1.537037037037037,4.185185185185186
L1,Usefulness,6,8.685185185185185,7.0,1.6851851851851858,0.5555555555555566,3.518518518518519
L1,Safety,6,8.092592592592593,7.055555555555556,1.037037037037037,0.5,2.0185185185185186
L2,Correctness,6,8.75925925925926,5.111111111111111,3.6481481481481475,2.5370370370370368,4.629629629629629
L2,Usefulness,6,8.888888888888888,6.018518518518519,2.8703703703703702,1.944444444444444,3.7226851851851457
L2,Safety,6,8.61111111111111,6.722222222222222,1.8888888888888886,1.185185185185185,2.666666666666666
L3,Correctness,6,9.037037037037036,5.666666666666667,3.3703703703703702,2.7037037037037037,4.12962962962963
L3,Usefulness,6,8.907407407407407,6.425925925925925,2.481481481481481,1.8888888888888886,3.1666666666666665
L3,Safety,6,7.851851851851852,6.925925925925925,0.9259259259259262,0.5370370370370375,1.3148148148148149
L4,Correctness,6,8.185185185185185,5.055555555555555,3.1296296296296298,1.9259259259259256,4.166666666666667
L4,Usefulness,6,8.333333333333334,6.037037037037037,2.2962962962962963,1.333333333333334,3.111111111111111
L4,Safety,6,8.592592592592593,7.37037037037037,1.2222222222222223,0.5555555555555559,2.0370370370370368
